iter	Logloss
0	0.6100598248
1	0.5482275044
2	0.4918529755
3	0.435521963
4	0.3919529778
5	0.3581204129
6	0.3221962139
7	0.2922008332
8	0.2742902327
9	0.2531339628
10	0.2294322192
11	0.2160175287
12	0.2001217006
13	0.1888514846
14	0.180297898
15	0.1717329514
16	0.1575906371
17	0.1492857665
18	0.1414590329
19	0.1320791746
20	0.1256268531
21	0.1204542821
22	0.1157404876
23	0.1093627446
24	0.1047600546
25	0.1005657751
26	0.09691828611
27	0.09368733287
28	0.08776707766
29	0.08448096553
30	0.08142779213
31	0.07897990867
32	0.07581028117
33	0.07378843336
34	0.07199686596
35	0.06965664438
36	0.06777620796
37	0.06567785328
38	0.06389454565
39	0.0626449469
40	0.06093240908
41	0.0593149519
42	0.05805796454
43	0.05616476289
44	0.0550006782
45	0.05391452258
46	0.05232665484
47	0.05107353653
48	0.04986697349
49	0.04839168565
50	0.04745390611
51	0.04621850057
52	0.04506275507
53	0.0441836709
54	0.04350465385
55	0.0424256939
56	0.04157480584
57	0.04054082763
58	0.03955810096
59	0.03884237627
60	0.03837657883
61	0.03771311425
62	0.03717682663
63	0.03663965678
64	0.03598590069
65	0.03507364465
66	0.03446684166
67	0.03382248738
68	0.03331860202
69	0.03284114248
70	0.03238492582
71	0.03189093632
72	0.03116147839
73	0.03077061071
74	0.03010759836
75	0.0295752413
76	0.02897037052
77	0.02862131822
78	0.02822794763
79	0.02780055283
80	0.02729953504
81	0.02689258781
82	0.02657279023
83	0.02615650896
84	0.02579477216
85	0.02552883406
86	0.02517851592
87	0.02489371884
88	0.02457809509
89	0.02423597042
90	0.02392203443
91	0.02360316912
92	0.02328508236
93	0.02301168805
94	0.02276493642
95	0.02249880867
96	0.02220593422
97	0.02196541976
98	0.0216905053
99	0.02147491076
100	0.02121831472
101	0.02098946984
102	0.02080749433
103	0.02064404705
104	0.02047337953
105	0.02022699937
106	0.02003935058
107	0.01984494915
108	0.0196677594
109	0.01951517957
110	0.01936248464
111	0.01921059226
112	0.01899713318
113	0.01879279645
114	0.01858445366
115	0.01841878094
116	0.01828790271
117	0.01810631206
118	0.01795875176
119	0.01779676673
120	0.01764521835
121	0.01749699441
122	0.0173498998
123	0.01717286745
124	0.01704231454
125	0.01689616052
126	0.01676743663
127	0.01665897754
128	0.01652685813
129	0.01640118755
130	0.01626116394
131	0.01612805769
132	0.01602416629
133	0.01591519514
134	0.01581219437
135	0.01568636419
136	0.01558933044
137	0.01546181968
138	0.01535674744
139	0.01524832321
140	0.01513709538
141	0.01504019646
142	0.01494023667
143	0.01483479291
144	0.01473852269
145	0.01465865454
146	0.0145541488
147	0.01447475123
148	0.01438098902
149	0.01424528013
150	0.01415396031
151	0.01407140975
152	0.01396837402
153	0.01387668051
154	0.01379874994
155	0.01372434251
156	0.01364620193
157	0.01355704971
158	0.01343307839
159	0.01328560399
160	0.01321146024
161	0.01313468378
162	0.01305022571
163	0.01296354478
164	0.01289414036
165	0.01282237852
166	0.01275366697
167	0.01267785066
168	0.01261901303
169	0.01254362941
170	0.01246969091
171	0.01240699247
172	0.01234435147
173	0.01228423837
174	0.01220908519
175	0.01213383746
176	0.01206575034
177	0.01194345286
178	0.01187582348
179	0.01181049792
180	0.01175469257
181	0.01169946577
182	0.01163449723
183	0.01157810101
184	0.01152515283
185	0.01141681313
186	0.01135410196
187	0.01129547651
188	0.01123372919
189	0.01118505376
190	0.01107874046
191	0.01101830374
192	0.01091593038
193	0.01086792069
194	0.0107680575
195	0.01066971587
196	0.01058164744
197	0.01053765884
198	0.01048309674
199	0.01043312264
200	0.01038997876
201	0.01034658428
202	0.01029854839
203	0.01025105381
204	0.01020385119
205	0.01015551247
206	0.01011381452
207	0.01007376599
208	0.01003435229
209	0.00994926498
210	0.009908807683
211	0.009870919055
212	0.009788538708
213	0.009740155432
214	0.009693498419
215	0.009614034648
216	0.00957312452
217	0.00953725112
218	0.009501507822
219	0.009466055311
220	0.009424461029
221	0.009353017279
222	0.009312626761
223	0.009238451256
224	0.009165816723
225	0.009096054784
226	0.009057160629
227	0.009020560814
228	0.008983043779
229	0.008913824065
230	0.008878249646
231	0.008848119352
232	0.008817401129
233	0.008752528534
234	0.008722754702
235	0.008657644366
236	0.008627976943
237	0.008576874012
238	0.008544714916
239	0.008511097183
240	0.00848094554
241	0.008420908341
242	0.008361631558
243	0.008303419716
244	0.008243979629
245	0.008210284639
246	0.008151955805
247	0.008096045949
248	0.008040217643
249	0.008010369591
250	0.007978193113
251	0.007924629867
252	0.007871449318
253	0.007846689281
254	0.007822921861
